   8 , eos_01_modis_08.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    23614.000000       0.000000
    23628.330000       0.009265
    23642.660000       0.015255
    23656.990000       0.022324
    23671.320000       0.029038
    23685.650000       0.036056
    23699.980000       0.044036
    23714.310000       0.053639
    23728.640000       0.065522
    23742.970000       0.080346
    23757.300000       0.100212
    23771.630000       0.129008
    23785.960000       0.166201
    23800.290000       0.209965
    23814.620000       0.260524
    23828.950000       0.319080
    23843.280000       0.381954
    23857.610000       0.444352
    23871.940000       0.504760
    23886.270000       0.566376
    23900.600000       0.629041
    23914.930000       0.691523
    23929.260000       0.752591
    23943.590000       0.811011
    23957.920000       0.865553
    23972.250000       0.914974
    23986.580000       0.955169
    24000.910000       0.981761
    24015.240000       0.995991
    24029.570000       1.000000
    24043.900000       0.996331
    24058.230000       0.982793
    24072.560000       0.956854
    24086.890000       0.916823
    24101.220000       0.863574
    24115.550000       0.799712
    24129.880000       0.728148
    24144.210000       0.653347
    24158.540000       0.579773
    24172.870000       0.511888
    24187.200000       0.454159
    24201.530000       0.411047
    24215.860000       0.393832
    24230.190000       0.419190
    24244.520000       0.475114
    24258.850000       0.539763
    24273.180000       0.598323
    24287.510000       0.658998
    24301.840000       0.719537
    24316.170000       0.769552
    24330.500000       0.801170
    24344.830000       0.818300
    24359.160000       0.823681
    24373.490000       0.820268
    24387.820000       0.811033
    24402.150000       0.797953
    24416.480000       0.781249
    24430.810000       0.762071
    24445.140000       0.741661
    24459.470000       0.721261
    24473.800000       0.702112
    24488.130000       0.685456
    24502.460000       0.672547
    24516.790000       0.665308
    24531.120000       0.665766
    24545.450000       0.671860
    24559.780000       0.680766
    24574.110000       0.693710
    24588.440000       0.713950
    24602.770000       0.733626
    24617.100000       0.741538
    24631.430000       0.730989
    24645.760000       0.711518
    24660.090000       0.688142
    24674.420000       0.661203
    24688.750000       0.630966
    24703.080000       0.597697
    24717.410000       0.561663
    24731.740000       0.523130
    24746.070000       0.481875
    24760.400000       0.428737
    24774.730000       0.361619
    24789.060000       0.290472
    24803.390000       0.226426
    24817.720000       0.174300
    24832.050000       0.129342
    24846.380000       0.092250
    24860.710000       0.065269
    24875.040000       0.048987
    24889.370000       0.038033
    24903.700000       0.030587
    24918.030000       0.025859
    24932.360000       0.023071
    24946.690000       0.021444
    24961.020000       0.020199
    24975.350000       0.018558
    24989.680000       0.015751
    25004.010000       0.012941
    25018.340000       0.012049
    25032.670000       0.010937
    25047.000000       0.000000
