  11 , eos_01_modis_11.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    18500.000000       0.000000
    18507.500000       0.010412
    18515.000000       0.012538
    18522.500000       0.015506
    18530.000000       0.018254
    18537.500000       0.021725
    18545.000000       0.027040
    18552.500000       0.034796
    18560.000000       0.043783
    18567.500000       0.054370
    18575.000000       0.068030
    18582.500000       0.086235
    18590.000000       0.110004
    18597.500000       0.139201
    18605.000000       0.172711
    18612.500000       0.209269
    18620.000000       0.247843
    18627.500000       0.289493
    18635.000000       0.334407
    18642.500000       0.380371
    18650.000000       0.425053
    18657.500000       0.467077
    18665.000000       0.507738
    18672.500000       0.547189
    18680.000000       0.584896
    18687.500000       0.620342
    18695.000000       0.653474
    18702.500000       0.684430
    18710.000000       0.713361
    18717.500000       0.740431
    18725.000000       0.765770
    18732.500000       0.789293
    18740.000000       0.811060
    18747.500000       0.831436
    18755.000000       0.850793
    18762.500000       0.869357
    18770.000000       0.887010
    18777.500000       0.903610
    18785.000000       0.918985
    18792.500000       0.932960
    18800.000000       0.945390
    18807.500000       0.956428
    18815.000000       0.966170
    18822.500000       0.974677
    18830.000000       0.982011
    18837.500000       0.988175
    18845.000000       0.993083
    18852.500000       0.996711
    18860.000000       0.999040
    18867.500000       1.000000
    18875.000000       0.999310
    18882.500000       0.997158
    18890.000000       0.994150
    18897.500000       0.990889
    18905.000000       0.987452
    18912.500000       0.983235
    18920.000000       0.978746
    18927.500000       0.974834
    18935.000000       0.972350
    18942.500000       0.972140
    18950.000000       0.974424
    18957.500000       0.977676
    18965.000000       0.980090
    18972.500000       0.980021
    18980.000000       0.978381
    18987.500000       0.975995
    18995.000000       0.970748
    19002.500000       0.960221
    19010.000000       0.942139
    19017.500000       0.915895
    19025.000000       0.882827
    19032.500000       0.845153
    19040.000000       0.805108
    19047.500000       0.764298
    19055.000000       0.721391
    19062.500000       0.675968
    19070.000000       0.629254
    19077.500000       0.582485
    19085.000000       0.536030
    19092.500000       0.488669
    19100.000000       0.441097
    19107.500000       0.394810
    19115.000000       0.351302
    19122.500000       0.310914
    19130.000000       0.272826
    19137.500000       0.237097
    19145.000000       0.203999
    19152.500000       0.173793
    19160.000000       0.146406
    19167.500000       0.121659
    19175.000000       0.099536
    19182.500000       0.080037
    19190.000000       0.063199
    19197.500000       0.049527
    19205.000000       0.038931
    19212.500000       0.030536
    19220.000000       0.023406
    19227.500000       0.016702
    19235.000000       0.011654
    19242.500000       0.009880
    19250.000000       0.000000
