28 , eos_01_modis_28.flt  shift of 2.00cm-1 applied
Number of data points:
529
Wavenumber (cm-1)   Filter response
     1300.000000       0.000000
     1300.250000       0.010451
     1300.500000       0.010878
     1300.750000       0.011305
     1301.000000       0.011730
     1301.250000       0.011276
     1301.500000       0.011737
     1301.750000       0.012216
     1302.000000       0.012698
     1302.250000       0.012233
     1302.500000       0.011652
     1302.750000       0.012063
     1303.000000       0.012472
     1303.250000       0.012877
     1303.500000       0.012764
     1303.750000       0.012693
     1304.000000       0.012672
     1304.250000       0.013005
     1304.500000       0.013338
     1304.750000       0.013310
     1305.000000       0.013298
     1305.250000       0.013656
     1305.500000       0.014031
     1305.750000       0.014427
     1306.000000       0.014848
     1306.250000       0.015300
     1306.500000       0.015784
     1306.750000       0.016300
     1307.000000       0.016847
     1307.250000       0.017422
     1307.500000       0.018020
     1307.750000       0.018638
     1308.000000       0.019271
     1308.250000       0.019916
     1308.500000       0.020569
     1308.750000       0.021226
     1309.000000       0.021887
     1309.250000       0.022548
     1309.500000       0.023207
     1309.750000       0.023868
     1310.000000       0.024536
     1310.250000       0.025215
     1310.500000       0.025909
     1310.750000       0.026621
     1311.000000       0.027356
     1311.250000       0.028119
     1311.500000       0.028912
     1311.750000       0.029736
     1312.000000       0.030591
     1312.250000       0.031474
     1312.500000       0.032386
     1312.750000       0.033328
     1313.000000       0.034302
     1313.250000       0.035309
     1313.500000       0.036350
     1313.750000       0.037426
     1314.000000       0.038537
     1314.250000       0.039680
     1314.500000       0.040852
     1314.750000       0.042047
     1315.000000       0.043261
     1315.250000       0.044502
     1315.500000       0.045774
     1315.750000       0.047085
     1316.000000       0.048443
     1316.250000       0.049856
     1316.500000       0.051333
     1316.750000       0.052879
     1317.000000       0.054498
     1317.250000       0.056186
     1317.500000       0.057937
     1317.750000       0.059753
     1318.000000       0.061633
     1318.250000       0.063581
     1318.500000       0.065597
     1318.750000       0.067684
     1319.000000       0.069852
     1319.250000       0.072098
     1319.500000       0.074423
     1319.750000       0.076837
     1320.000000       0.079347
     1320.250000       0.081959
     1320.500000       0.084685
     1320.750000       0.087529
     1321.000000       0.090500
     1321.250000       0.093600
     1321.500000       0.096841
     1321.750000       0.100228
     1322.000000       0.103741
     1322.250000       0.107380
     1322.500000       0.111144
     1322.750000       0.115034
     1323.000000       0.119063
     1323.250000       0.123236
     1323.500000       0.127567
     1323.750000       0.132058
     1324.000000       0.136726
     1324.250000       0.141589
     1324.500000       0.146640
     1324.750000       0.151879
     1325.000000       0.157309
     1325.250000       0.162937
     1325.500000       0.168769
     1325.750000       0.174825
     1326.000000       0.181124
     1326.250000       0.187680
     1326.500000       0.194502
     1326.750000       0.201602
     1327.000000       0.208988
     1327.250000       0.216658
     1327.500000       0.224598
     1327.750000       0.232787
     1328.000000       0.241208
     1328.250000       0.249850
     1328.500000       0.258716
     1328.750000       0.267806
     1329.000000       0.277128
     1329.250000       0.286678
     1329.500000       0.296443
     1329.750000       0.306450
     1330.000000       0.316711
     1330.250000       0.327218
     1330.500000       0.337956
     1330.750000       0.348900
     1331.000000       0.360019
     1331.250000       0.371292
     1331.500000       0.382694
     1331.750000       0.394211
     1332.000000       0.405812
     1332.250000       0.417479
     1332.500000       0.429231
     1332.750000       0.441073
     1333.000000       0.453016
     1333.250000       0.465084
     1333.500000       0.477264
     1333.750000       0.489529
     1334.000000       0.501851
     1334.250000       0.514204
     1334.500000       0.526558
     1334.750000       0.538869
     1335.000000       0.551120
     1335.250000       0.563328
     1335.500000       0.575487
     1335.750000       0.587609
     1336.000000       0.599695
     1336.250000       0.611699
     1336.500000       0.623586
     1336.750000       0.635307
     1337.000000       0.646830
     1337.250000       0.658109
     1337.500000       0.669098
     1337.750000       0.679786
     1338.000000       0.690182
     1338.250000       0.700312
     1338.500000       0.710201
     1338.750000       0.719862
     1339.000000       0.729289
     1339.250000       0.738480
     1339.500000       0.747433
     1339.750000       0.756141
     1340.000000       0.764598
     1340.250000       0.772797
     1340.500000       0.780717
     1340.750000       0.788373
     1341.000000       0.795776
     1341.250000       0.802929
     1341.500000       0.809828
     1341.750000       0.816470
     1342.000000       0.822850
     1342.250000       0.828963
     1342.500000       0.834805
     1342.750000       0.840374
     1343.000000       0.845658
     1343.250000       0.850639
     1343.500000       0.855337
     1343.750000       0.859765
     1344.000000       0.863926
     1344.250000       0.867830
     1344.500000       0.871486
     1344.750000       0.874910
     1345.000000       0.878114
     1345.250000       0.881112
     1345.500000       0.883921
     1345.750000       0.886549
     1346.000000       0.888979
     1346.250000       0.891182
     1346.500000       0.893139
     1346.750000       0.894855
     1347.000000       0.896360
     1347.250000       0.897677
     1347.500000       0.898839
     1347.750000       0.899875
     1348.000000       0.900818
     1348.250000       0.901703
