34 , eos_01_modis_34.flt       shift of 0.80cm-1 applied
Number of data points:
153
Wavenumber (cm-1)   Filter response
      711.800000       0.000000
      712.050000       0.010090
      712.300000       0.011139
      712.550000       0.011768
      712.800000       0.012141
      713.050000       0.012472
      713.300000       0.012768
      713.550000       0.013039
      713.800000       0.011662
      714.050000       0.012315
      714.300000       0.011974
      714.550000       0.012198
      714.800000       0.012091
      715.050000       0.012390
      715.300000       0.013033
      715.550000       0.013810
      715.800000       0.015186
      716.050000       0.016595
      716.300000       0.017971
      716.550000       0.019302
      716.800000       0.020334
      717.050000       0.021046
      717.300000       0.022055
      717.550000       0.024332
      717.800000       0.028590
      718.050000       0.034723
      718.300000       0.042269
      718.550000       0.050659
      718.800000       0.059279
      719.050000       0.067947
      719.300000       0.077058
      719.550000       0.087613
      719.800000       0.100339
      720.050000       0.115352
      720.300000       0.132921
      720.550000       0.153308
      720.800000       0.176685
      721.050000       0.202568
      721.300000       0.230979
      721.550000       0.262399
      721.800000       0.297323
      722.050000       0.336585
      722.300000       0.379713
      722.550000       0.424688
      722.800000       0.469169
      723.050000       0.512771
      723.300000       0.555736
      723.550000       0.597326
      723.800000       0.636232
      724.050000       0.672256
      724.300000       0.705731
      724.550000       0.736564
      724.800000       0.764556
      725.050000       0.789518
      725.300000       0.811413
      725.550000       0.830520
      725.800000       0.847521
      726.050000       0.863052
      726.300000       0.877236
      726.550000       0.889951
      726.800000       0.901205
      727.050000       0.910957
      727.300000       0.918847
      727.550000       0.925158
      727.800000       0.930745
      728.050000       0.936421
      728.300000       0.942261
      728.550000       0.947972
      728.800000       0.953518
      729.050000       0.958976
      729.300000       0.964433
      729.550000       0.969940
      729.800000       0.975371
      730.050000       0.980527
      730.300000       0.985736
      730.550000       0.991401
      730.800000       0.996747
      731.050000       1.000000
      731.300000       0.999125
      731.550000       0.993150
      731.800000       0.983197
      732.050000       0.971742
      732.300000       0.961497
      732.550000       0.953435
      732.800000       0.946932
      733.050000       0.941081
      733.300000       0.935147
      733.550000       0.928444
      733.800000       0.921003
      734.050000       0.913631
      734.300000       0.907509
      734.550000       0.903680
      734.800000       0.902323
      735.050000       0.903000
      735.300000       0.904756
      735.550000       0.906645
      735.800000       0.908749
      736.050000       0.910999
      736.300000       0.912695
      736.550000       0.912686
      736.800000       0.910961
      737.050000       0.907916
      737.300000       0.902820
      737.550000       0.894187
      737.800000       0.880888
      738.050000       0.862923
      738.300000       0.840607
      738.550000       0.814221
      738.800000       0.783990
      739.050000       0.749813
      739.300000       0.711640
      739.550000       0.670332
      739.800000       0.627203
      740.050000       0.582266
      740.300000       0.535170
      740.550000       0.486839
      740.800000       0.439496
      741.050000       0.394912
      741.300000       0.352867
      741.550000       0.313340
      741.800000       0.276691
      742.050000       0.243391
      742.300000       0.213278
      742.550000       0.186054
      742.800000       0.161624
      743.050000       0.139906
      743.300000       0.121116
      743.550000       0.105486
      743.800000       0.092580
      744.050000       0.081530
      744.300000       0.071515
      744.550000       0.062584
      744.800000       0.055004
      745.050000       0.048626
      745.300000       0.043027
      745.550000       0.037965
      745.800000       0.033335
      746.050000       0.029150
      746.300000       0.025426
      746.550000       0.022238
      746.800000       0.019886
      747.050000       0.018274
      747.300000       0.017031
      747.550000       0.015765
      747.800000       0.014287
      748.050000       0.013052
      748.300000       0.012109
      748.550000       0.010788
      748.800000       0.010106
      749.050000       0.010187
      749.300000       0.009982
      749.550000       0.009970
      749.800000       0.000000
