35 , eos_01_modis_35.flt      shift of 0.80cm-1 applied
Number of data points:
153
Wavenumber (cm-1)   Filter response
      702.800000       0.000000
      703.050000       0.009949
      703.300000       0.010073
      703.550000       0.010442
      703.800000       0.010554
      704.050000       0.010714
      704.300000       0.011773
      704.550000       0.013803
      704.800000       0.016739
      705.050000       0.020314
      705.300000       0.024217
      705.550000       0.028046
      705.800000       0.031523
      706.050000       0.035217
      706.300000       0.039812
      706.550000       0.045850
      706.800000       0.053010
      707.050000       0.061226
      707.300000       0.070669
      707.550000       0.081224
      707.800000       0.092080
      708.050000       0.104395
      708.300000       0.119976
      708.550000       0.140276
      708.800000       0.165005
      709.050000       0.193460
      709.300000       0.225066
      709.550000       0.259428
      709.800000       0.297097
      710.050000       0.337573
      710.300000       0.379849
      710.550000       0.423399
      710.800000       0.469280
      711.050000       0.516509
      711.300000       0.563257
      711.550000       0.608384
      711.800000       0.653537
      712.050000       0.697724
      712.300000       0.738592
      712.550000       0.774100
      712.800000       0.804557
      713.050000       0.830893
      713.300000       0.853611
      713.550000       0.873084
      713.800000       0.888491
      714.050000       0.900297
      714.300000       0.910044
      714.550000       0.919183
      714.800000       0.928279
      715.050000       0.936411
      715.300000       0.942512
      715.550000       0.945389
      715.800000       0.943431
      716.050000       0.938002
      716.300000       0.932125
      716.550000       0.928743
      716.800000       0.928727
      717.050000       0.930546
      717.300000       0.933208
      717.550000       0.935727
      717.800000       0.937339
      718.050000       0.938662
      718.300000       0.940734
      718.550000       0.944620
      718.800000       0.951597
      719.050000       0.961161
      719.300000       0.970985
      719.550000       0.978662
      719.800000       0.982731
      720.050000       0.984169
      720.300000       0.984346
      720.550000       0.984556
      720.800000       0.985525
      721.050000       0.986665
      721.300000       0.987805
      721.550000       0.988943
      721.800000       0.990081
      722.050000       0.991218
      722.300000       0.992354
      722.550000       0.993489
      722.800000       0.994710
      723.050000       0.996629
      723.300000       0.998804
      723.550000       1.000000
      723.800000       0.999074
      724.050000       0.996183
      724.300000       0.991755
      724.550000       0.985088
      724.800000       0.975502
      725.050000       0.963489
      725.300000       0.949468
      725.550000       0.931885
      725.800000       0.909060
      726.050000       0.879661
      726.300000       0.843943
      726.550000       0.803586
      726.800000       0.760388
      727.050000       0.715303
      727.300000       0.666549
      727.550000       0.615414
      727.800000       0.564440
      728.050000       0.515745
      728.300000       0.468512
      728.550000       0.422208
      728.800000       0.377738
      729.050000       0.335913
      729.300000       0.296400
      729.550000       0.258997
      729.800000       0.224496
      730.050000       0.193725
      730.300000       0.167201
      730.550000       0.144522
      730.800000       0.125039
      731.050000       0.108101
      731.300000       0.093536
      731.550000       0.082298
      731.800000       0.073580
      732.050000       0.066015
      732.300000       0.058358
      732.550000       0.050502
      732.800000       0.043088
      733.050000       0.036493
      733.300000       0.031111
      733.550000       0.027445
      733.800000       0.025245
      734.050000       0.023795
      734.300000       0.022373
      734.550000       0.020491
      734.800000       0.018527
      735.050000       0.016722
      735.300000       0.015208
      735.550000       0.014130
      735.800000       0.013492
      736.050000       0.013390
      736.300000       0.012938
      736.550000       0.012344
      736.800000       0.012722
      737.050000       0.016865
      737.300000       0.016486
      737.550000       0.022043
      737.800000       0.021211
      738.050000       0.020333
      738.300000       0.019415
      738.550000       0.018458
      738.800000       0.017467
      739.050000       0.016445
      739.300000       0.015396
      739.550000       0.014323
      739.800000       0.013230
      740.050000       0.012120
      740.300000       0.010997
      740.550000       0.000000
      740.800000       0.000000
